Area_Part,Date_Quarter,Price_Index,,,
Nine census metropolitan area composite 4,Q2 2018,103.4,,,
Nine census metropolitan area composite 4,Q2 2019,108.3,,,
Nine census metropolitan area composite 4,Q2 2020,120,,,
Nine census metropolitan area composite 4,Q2 2021,122,,,
Nine census metropolitan area composite 4,Q2 2022,128.6,,,
Nine census metropolitan area composite 4,Q2 2023,126.8,,,
Nine census metropolitan area composite 4,Q3 2017,101.9,,,
Nine census metropolitan area composite 4,Q3 2018,105,,,
Nine census metropolitan area composite 4,Q3 2019,106.9,,,
Nine census metropolitan area composite 4,Q3 2020,120,,,
Nine census metropolitan area composite 4,Q3 2021,124.2,,,
Nine census metropolitan area composite 4,Q3 2022,128.4,,,
Nine census metropolitan area composite 4,Q3 2023,127.3,,,
Nine census metropolitan area composite 4,Q4 2017,104.8,,,
Nine census metropolitan area composite 4,Q4 2018,107.3,,,
Nine census metropolitan area composite 4,Q4 2019,110.6,,,
Nine census metropolitan area composite 4,Q4 2020,119.8,,,
Nine census metropolitan area composite 4,Q4 2021,126.3,,,
Nine census metropolitan area composite 4,Q4 2022,128.1,,,
Nine census metropolitan area composite 4,Q4 2023,125.6,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q1 2017,101.5,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q1 2018,98.9,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q1 2019,107.4,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q1 2020,131.7,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q1 2021,136.1,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q1 2022,139.6,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q1 2023,135.8,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q2 2017,99.6,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q2 2018,101.5,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q2 2019,117,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q2 2020,135.2,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q2 2021,137.2,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q2 2022,138.4,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q2 2023,138.4,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q3 2017,101.3,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q3 2018,103.3,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q3 2019,120.6,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q3 2020,135.2,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q3 2021,140.4,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q3 2022,138.3,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q3 2023,143.1,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q4 2017,97.6,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q4 2018,103.3,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q4 2019,124.7,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q4 2020,136.1,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q4 2021,140.4,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q4 2022,138,,,
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Q4 2023,140.7,,,
"Québec, Quebec",Q1 2017,101.6,,,
"Québec, Quebec",Q1 2018,98,,,
"Québec, Quebec",Q1 2019,98.3,,,
"Québec, Quebec",Q1 2020,96.4,,,
"Québec, Quebec",Q1 2021,99.8,,,
"Québec, Quebec",Q1 2022,94.4,,,
"Québec, Quebec",Q1 2023,94.4,,,
"Québec, Quebec",Q2 2017,100.7,,,
"Québec, Quebec",Q2 2018,97.4,,,
"Québec, Quebec",Q2 2019,96.3,,,
"Québec, Quebec",Q2 2020,95.1,,,
"Québec, Quebec",Q2 2021,102.3,,,
"Québec, Quebec",Q2 2022,94.4,,,
"Québec, Quebec",Q2 2023,91.1,,,
"Québec, Quebec",Q3 2017,99.2,,,
"Québec, Quebec",Q3 2018,97.8,,,
"Québec, Quebec",Q3 2019,95.7,,,
"Québec, Quebec",Q3 2020,96,,,
"Québec, Quebec",Q3 2021,99.5,,,
"Québec, Quebec",Q3 2022,94.4,,,
"Québec, Quebec",Q3 2023,92.2,,,
"Québec, Quebec",Q4 2017,98.5,,,
"Québec, Quebec",Q4 2018,100,,,
"Québec, Quebec",Q4 2019,96.6,,,
"Québec, Quebec",Q4 2020,98.9,,,
"Québec, Quebec",Q4 2021,97.7,,,
"Québec, Quebec",Q4 2022,94.4,,,
"Québec, Quebec",Q4 2023,93.2,,,
"Toronto, Ontario",Q1 2017,97.2,,,
"Toronto, Ontario",Q1 2018,104.6,,,
"Toronto, Ontario",Q1 2019,110.1,,,
"Toronto, Ontario",Q1 2020,125.6,,,
"Toronto, Ontario",Q1 2021,128.5,,,
"Toronto, Ontario",Q1 2022,140,,,
"Toronto, Ontario",Q1 2023,138.9,,,
"Toronto, Ontario",Q2 2017,99.3,,,
"Toronto, Ontario",Q2 2018,105,,,
"Toronto, Ontario",Q2 2019,110.1,,,
"Toronto, Ontario",Q2 2020,130,,,
"Toronto, Ontario",Q2 2021,131.2,,,
